Name,Week,0,1,2,3,4,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM,FPoints,Games
Aaron Gordon 2021-22 Advanced Game Log ,1.0,0,0,1,0,0,1.0,29.416666666666664,4.0,6.0,0.5,1.0,1.5,2.0,2.0,4.5,6.5,2.5,0.0,0.5,3.0,3.5,10.0,13.5,0.7264999999999999,0.7085,8.15,15.8,12.3,11.3,0.0,1.65,30.4,15.05,112.5,100.0,7.65,-0.9000000000000004,14.5,2.0
Aaron Gordon 2021-22 Advanced Game Log ,2.0,0,0,1,0,0,1.0,29.25,6.0,11.5,0.5,3.0,1.75,2.75,1.75,4.5,6.25,1.5,1.0,1.0,2.25,2.0,14.25,10.5,0.5700000000000001,0.55175,6.7,16.5,11.8,8.7,1.675,3.625,13.9,22.4,104.5,99.75,10.475,0.9000000000000001,15.75,4.0
Aaron Gordon 2021-22 Advanced Game Log ,3.0,0,0,1,0,0,1.0,28.66111111111111,4.333333333333333,8.0,2.0,4.0,0.3333333333333333,1.0,1.6666666666666667,3.0,4.666666666666667,1.3333333333333333,0.0,1.3333333333333333,1.0,2.0,11.0,5.333333333333333,0.702,0.7086666666666667,5.766666666666667,11.566666666666668,8.533333333333333,7.2,0.0,4.733333333333333,12.066666666666668,14.866666666666667,124.0,109.0,9.0,1.0,16.666666666666668,3.0
Aaron Gordon 2021-22 Advanced Game Log ,4.0,0,0,1,0,0,1.0,33.12916666666666,4.5,11.0,0.75,2.75,3.25,3.5,2.5,3.25,5.75,2.5,0.75,1.0,1.0,1.75,13.0,11.75,0.5085,0.4385,7.975,10.475,9.375,10.625000000000002,1.15,2.4,6.75,18.5,115.75,107.5,11.225000000000001,-1.1750000000000003,16.0,4.0
Aaron Gordon 2021-22 Advanced Game Log ,5.0,0,0,1,0,0,1.0,33.458333333333336,6.75,12.75,1.25,3.0,2.0,3.0,2.5,5.0,7.5,2.5,0.5,0.75,1.5,1.75,16.75,-5.25,0.582,0.585,7.75,16.0,11.9,14.850000000000001,0.825,1.75,8.875,21.275,117.75,120.5,13.95,1.1,22.0,4.0
Aaron Gordon 2021-22 Advanced Game Log ,6.0,0,0,1,0,0,1.0,34.80833333333334,5.5,9.5,0.5,1.5,3.0,3.0,1.5,4.5,6.0,3.0,1.0,0.0,0.5,2.5,14.5,-13.5,0.6605,0.603,4.65,20.2,10.5,13.25,1.35,0.0,4.8,15.15,140.5,130.0,14.05,-1.0,20.5,2.0
Aaron Gordon 2021-22 Advanced Game Log ,7.0,0,0,1,0,0,1.0,33.47777777777778,5.0,9.0,1.3333333333333333,3.3333333333333335,2.6666666666666665,4.0,0.3333333333333333,4.333333333333333,4.666666666666667,3.0,1.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,14.0,5.666666666666667,0.644,0.6286666666666667,2.0,15.033333333333333,8.466666666666667,11.799999999999999,2.1666666666666665,1.3333333333333333,17.4,17.233333333333334,113.66666666666667,114.0,11.433333333333332,-0.2666666666666666,17.333333333333332,3.0
Aaron Gordon 2021-22 Advanced Game Log ,8.0,0,0,1,0,0,1.0,37.4,6.5,12.0,1.0,3.25,3.25,4.25,2.5,2.0,4.5,2.25,0.75,0.75,1.25,2.0,17.25,8.0,0.6194999999999999,0.58175,7.475,5.85,6.65,9.299999999999999,0.95,1.75,6.875,18.275,126.75,119.0,14.2,-0.475,18.75,4.0
Aaron Gordon 2021-22 Advanced Game Log ,9.0,0,0,0,0,1,1.0,32.26111111111111,4.333333333333333,9.333333333333334,1.3333333333333333,3.6666666666666665,3.3333333333333335,4.0,1.3333333333333333,2.6666666666666665,4.0,2.3333333333333335,0.0,0.3333333333333333,2.6666666666666665,1.0,13.333333333333334,-5.0,0.6143333333333333,0.5436666666666666,4.9,9.033333333333333,7.300000000000001,9.6,0.0,0.8333333333333334,20.3,18.666666666666668,104.0,119.0,8.799999999999999,-5.1,13.0,3.0
Aaron Gordon 2021-22 Advanced Game Log ,10.0,0,0,0,0,1,1.0,24.983333333333334,5.0,11.0,1.0,4.0,1.0,3.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,12.0,-16.0,0.487,0.5,0.0,15.4,7.8,16.4,2.0,0.0,7.5,24.0,90.0,110.0,8.1,-0.5,11.0,1.0
