G,Date,W/L,Team,Tm_lag1,ORtg_lag1,DRtg_lag1,Pace_lag1,FTr_lag1,3PAr_lag1,TS%_lag1,TRB%_lag1,AST%_lag1,STL%_lag1,BLK%_lag1,eFG%_lag1,TOV%_lag1,ORB%_lag1,FT/FGA_lag1,eFG%o_lag1,TOV%o_lag1,DRB%o_lag1,FT/FGAo_lag1,Tm_lag2,ORtg_lag2,DRtg_lag2,Pace_lag2,FTr_lag2,3PAr_lag2,TS%_lag2,TRB%_lag2,AST%_lag2,STL%_lag2,BLK%_lag2,eFG%_lag2,TOV%_lag2,ORB%_lag2,FT/FGA_lag2,eFG%o_lag2,TOV%o_lag2,DRB%o_lag2,FT/FGAo_lag2
3,2022-10-23,L,ATL,108,107.1,97.2,100.9,0.18,0.348,0.562,51.1,65.0,9.9,4.3,0.522,15.0,20.9,0.169,0.463,16.9,78.7,0.3,117,114.3,104.5,102.4,0.267,0.278,0.582,41.3,66.7,11.7,7.9,0.539,8.2,9.3,0.222,0.474,12.5,69.4,0.143
3,2022-10-22,W,BOS,111,120.8,113.2,91.9,0.19,0.418,0.648,54.4,41.5,4.4,16.7,0.608,18.2,32.4,0.19,0.5,8.4,73.8,0.13,126,128.3,119.2,98.2,0.341,0.427,0.668,53.7,52.2,8.1,6.5,0.634,9.6,18.2,0.268,0.581,13.2,88.2,0.3
3,2022-10-22,L,CHI,100,106.3,108.5,94.0,0.418,0.342,0.535,49.4,57.6,8.5,5.6,0.462,12.2,22.7,0.342,0.575,15.9,84.8,0.125,116,112.5,104.7,103.1,0.301,0.387,0.551,50.0,56.1,11.6,11.5,0.511,11.7,24.0,0.226,0.538,17.1,81.0,0.275
3,2022-10-23,W,CHO,112,110.2,122.0,101.6,0.144,0.351,0.543,41.1,68.2,8.9,6.0,0.521,11.2,22.4,0.113,0.517,12.5,63.4,0.36,129,124.3,98.3,103.8,0.245,0.309,0.619,53.7,54.2,6.7,15.4,0.58,12.6,31.8,0.213,0.439,12.2,72.5,0.152
3,2022-10-23,W,CLE,128,132.7,99.5,96.5,0.212,0.318,0.689,57.8,66.7,4.1,9.1,0.659,15.5,24.2,0.188,0.446,9.5,80.0,0.25,105,108.7,111.8,96.6,0.299,0.364,0.603,48.1,65.8,5.2,8.9,0.558,16.3,17.1,0.247,0.494,11.5,72.7,0.267
3,2022-10-22,W,DEN,128,121.7,116.9,105.2,0.291,0.395,0.66,53.9,65.2,9.5,4.5,0.622,17.1,30.0,0.244,0.563,15.3,80.6,0.273,102,101.4,122.2,100.6,0.217,0.265,0.561,44.9,52.5,9.9,6.7,0.512,18.8,23.8,0.205,0.602,16.4,69.4,0.277
3,2022-10-22,L,DET,106,101.6,124.6,104.3,0.356,0.4,0.509,49.5,66.7,5.8,3.5,0.483,12.6,25.0,0.211,0.611,10.3,76.6,0.147,113,112.3,108.3,100.6,0.255,0.404,0.54,46.1,77.5,10.9,7.1,0.5,10.3,24.0,0.202,0.552,16.0,74.4,0.163
3,2022-10-23,W,GSW,123,116.9,121.7,105.2,0.307,0.5,0.616,46.1,81.0,9.5,5.8,0.563,15.3,19.4,0.273,0.622,17.1,70.0,0.244,123,108.3,96.0,113.6,0.232,0.455,0.564,50.0,68.9,9.7,7.4,0.535,14.2,22.0,0.172,0.479,16.7,80.4,0.202
3,2022-10-22,L,HOU,122,118.4,125.2,103.1,0.323,0.376,0.574,47.4,40.9,3.9,10.7,0.559,11.6,28.3,0.194,0.556,9.8,65.3,0.204,107,104.5,114.3,102.4,0.153,0.357,0.511,58.7,59.5,3.9,4.6,0.474,12.5,30.6,0.143,0.539,8.2,90.7,0.222
3,2022-10-22,W,IND,134,122.7,125.4,109.2,0.212,0.337,0.589,53.2,62.7,7.3,12.0,0.543,12.3,31.8,0.202,0.648,14.5,80.0,0.395,107,103.7,110.5,103.2,0.216,0.433,0.504,44.2,53.8,6.8,8.2,0.479,12.4,23.5,0.144,0.516,13.5,68.2,0.207
