,Name,team,G,Points accumulated,FP_avg,mins_avg
0,Nikola Jokic  ,Sengun Deez  Nuts,1,33,33.0,33.416666666666664
1,Nikola Jokic  ,Sengun Deez  Nuts,2,86,43.0,33.90833333333333
2,Nikola Jokic  ,Sengun Deez  Nuts,3,142,47.333333333333336,35.5
3,Nikola Jokic  ,Sengun Deez  Nuts,4,167,41.75,33.36666666666667
4,Nikola Jokic  ,Sengun Deez  Nuts,5,221,44.2,33.65333333333333
5,Nikola Jokic  ,Sengun Deez  Nuts,6,246,41.0,32.288888888888884
6,Nikola Jokic  ,Sengun Deez  Nuts,7,286,40.857142857142854,32.8
7,Nikola Jokic  ,Sengun Deez  Nuts,8,331,41.375,33.15416666666667
8,Nikola Jokic  ,Sengun Deez  Nuts,9,371,41.22222222222222,32.422222222222224
9,Nikola Jokic  ,Sengun Deez  Nuts,10,411,41.1,32.575
10,Nikola Jokic  ,Sengun Deez  Nuts,11,438,39.81818181818182,31.495454545454546
11,Nikola Jokic  ,Sengun Deez  Nuts,12,469,39.083333333333336,31.34861111111111
12,Nikola Jokic  ,Sengun Deez  Nuts,13,498,38.30769230769231,31.06025641025641
0,Cade Cunningham  ,Sengun Deez  Nuts,1,24,24.0,35.1
1,Cade Cunningham  ,Sengun Deez  Nuts,2,41,20.5,33.775000000000006
2,Cade Cunningham  ,Sengun Deez  Nuts,3,63,21.0,33.53333333333334
3,Cade Cunningham  ,Sengun Deez  Nuts,4,73,18.25,33.15416666666667
4,Cade Cunningham  ,Sengun Deez  Nuts,5,95,19.0,33.83
5,Cade Cunningham  ,Sengun Deez  Nuts,6,137,22.833333333333332,33.71388888888889
6,Cade Cunningham  ,Sengun Deez  Nuts,7,171,24.428571428571427,34.50238095238095
7,Cade Cunningham  ,Sengun Deez  Nuts,8,199,24.875,34.73958333333333
8,Cade Cunningham  ,Sengun Deez  Nuts,9,210,23.333333333333332,34.349999999999994
9,Cade Cunningham  ,Sengun Deez  Nuts,10,231,23.1,34.056666666666665
10,Cade Cunningham  ,Sengun Deez  Nuts,11,259,23.545454545454547,34.199999999999996
11,Cade Cunningham  ,Sengun Deez  Nuts,12,257,21.416666666666668,33.34722222222222
0,Pascal Siakam  ,Sengun Deez  Nuts,1,25,25.0,34.06666666666667
1,Pascal Siakam  ,Sengun Deez  Nuts,2,89,44.5,35.43333333333334
