,teams,week,score,Mean_Opponent,normalized score
0,Bob Bill's Injured Boys,1,666.0,820.2857142857143,-154.28571428571433
1,Bob Bill's Injured Boys,2,800.0,685.4285714285714,114.57142857142856
2,Bob Bill's Injured Boys,3,858.0,811.4285714285714,46.571428571428555
3,Bob Bill's Injured Boys,4,757.0,645.1428571428571,111.85714285714289
4,Bob Bill's Injured Boys,5,896.0,730.1428571428571,165.8571428571429
5,Boban  Marjanovic ,1,965.0,777.5714285714286,187.42857142857144
6,Boban  Marjanovic ,2,522.0,725.1428571428571,-203.1428571428571
7,Boban  Marjanovic ,3,727.0,830.1428571428571,-103.14285714285711
8,Boban  Marjanovic ,4,605.0,666.8571428571429,-61.85714285714289
9,Boban  Marjanovic ,5,782.0,746.4285714285714,35.571428571428555
10,FuxEm_Like ARabbott,1,739.0,809.8571428571429,-70.85714285714289
11,FuxEm_Like ARabbott,2,761.0,691.0,70.0
12,FuxEm_Like ARabbott,3,918.0,802.8571428571429,115.14285714285711
13,FuxEm_Like ARabbott,4,872.0,628.7142857142857,243.28571428571433
14,FuxEm_Like ARabbott,5,647.0,765.7142857142857,-118.71428571428567
15,Giddey Up,1,832.0,796.5714285714286,35.428571428571445
16,Giddey Up,2,718.0,697.1428571428571,20.85714285714289
17,Giddey Up,3,895.0,806.1428571428571,88.85714285714289
18,Giddey Up,4,480.0,684.7142857142857,-204.71428571428567
19,Giddey Up,5,740.0,752.4285714285714,-12.428571428571445
20,Harrisburg Frank,1,836.0,796.0,40.0
21,Harrisburg Frank,2,728.0,695.7142857142857,32.285714285714334
22,Harrisburg Frank,3,787.0,821.5714285714286,-34.571428571428555
23,Harrisburg Frank,4,705.0,652.5714285714286,52.428571428571445
24,Harrisburg Frank,5,564.0,777.5714285714286,-213.57142857142856
25,Injured or Suspended,1,841.0,795.2857142857143,45.714285714285666
26,Injured or Suspended,2,727.0,695.8571428571429,31.14285714285711
27,Injured or Suspended,3,754.0,826.2857142857143,-72.28571428571433
28,Injured or Suspended,4,694.0,654.1428571428571,39.85714285714289
29,Injured or Suspended,5,927.0,725.7142857142857,201.28571428571433
30,Luka All Those Chickens,1,759.0,807.0,-48.0
31,Luka All Those Chickens,2,760.0,691.1428571428571,68.85714285714289
32,Luka All Those Chickens,3,843.0,813.5714285714286,29.428571428571445
33,Luka All Those Chickens,4,532.0,677.2857142857143,-145.28571428571433
34,Luka All Those Chickens,5,843.0,737.7142857142857,105.28571428571433
35,Sengun Deez  Nuts,1,770.0,805.4285714285714,-35.428571428571445
36,Sengun Deez  Nuts,2,582.0,716.5714285714286,-134.57142857142856
37,Sengun Deez  Nuts,3,756.0,826.0,-70.0
38,Sengun Deez  Nuts,4,628.0,663.5714285714286,-35.571428571428555
39,Sengun Deez  Nuts,5,608.0,771.2857142857143,-163.28571428571433
