,teams,week,score,Mean_Opponent,normalized score,3_week_rolling_mean,Margin,Won?,Cumul_wins
0,Boban  Marjanovic ,0,730.0,688.2857142857143,41.714285714285666,,-11.0,0,0
1,Boban  Marjanovic ,1,759.0,807.0,-48.0,,-206.0,0,0
2,Boban  Marjanovic ,2,761.0,691.0,70.0,21.238095238095223,239.0,1,1
3,Boban  Marjanovic ,3,756.0,826.0,-70.0,-16.0,29.0,1,2
4,Boban  Marjanovic ,4,757.0,645.1428571428571,111.85714285714289,37.2857142857143,152.0,1,3
5,Boban  Marjanovic ,5,740.0,752.4285714285714,-12.428571428571445,9.809523809523816,-42.0,0,3
6,Boban  Marjanovic ,6,969.0,790.2857142857143,178.71428571428567,92.71428571428571,-42.0,0,3
7,Boban  Marjanovic ,7,865.0,716.2857142857143,148.71428571428567,104.99999999999996,203.0,1,4
8,Boban  Marjanovic ,8,675.0,711.0,-36.0,97.14285714285711,-169.0,0,4
9,Boban  Marjanovic ,9,871.0,706.2857142857143,164.71428571428567,92.47619047619044,287.0,1,5
10,Boban  Marjanovic ,10,770.0,821.1428571428571,-51.14285714285711,25.85714285714285,-126.0,0,5
11,FuxEm_Like ARabbott,0,698.0,692.8571428571429,5.14285714285711,,-95.0,0,0
12,FuxEm_Like ARabbott,1,841.0,795.2857142857143,45.714285714285666,,102.0,1,1
13,FuxEm_Like ARabbott,2,522.0,725.1428571428571,-203.1428571428571,-50.76190476190478,-239.0,0,1
14,FuxEm_Like ARabbott,3,843.0,813.5714285714286,29.428571428571445,-42.666666666666664,-75.0,0,1
15,FuxEm_Like ARabbott,4,705.0,652.5714285714286,52.428571428571445,-40.42857142857141,-167.0,0,1
16,FuxEm_Like ARabbott,5,608.0,771.2857142857143,-163.28571428571433,-27.14285714285715,-39.0,0,1
17,FuxEm_Like ARabbott,6,580.0,845.8571428571429,-265.8571428571429,-125.5714285714286,-27.0,0,1
18,FuxEm_Like ARabbott,7,496.0,769.0,-273.0,-234.04761904761907,-396.0,0,1
19,FuxEm_Like ARabbott,8,646.0,715.1428571428571,-69.14285714285711,-202.66666666666666,-164.0,0,1
