,index,0,1,2,3,4,5,6,7,8,9,10,for
0,Boban  Marjanovic ,730.0,759.0,761.0,756.0,757.0,740.0,969.0,865.0,675.0,871.0,770.0,1
1,Harrisburg Frank,741.0,666.0,760.0,895.0,872.0,927.0,980.0,662.0,690.0,781.0,691.0,1
2,Siakam Deez  Nuts,805.0,832.0,727.0,727.0,532.0,647.0,843.0,748.0,755.0,736.0,896.0,1
3,The Return of Bob Bill,750.0,836.0,718.0,754.0,605.0,843.0,607.0,740.0,501.0,835.0,834.0,1
4,St. Joan of Arc CYO Team,546.0,739.0,582.0,858.0,480.0,564.0,1011.0,748.0,810.0,638.0,968.0,1
5,Luka All Those Chickens,485.0,965.0,728.0,918.0,628.0,896.0,871.0,728.0,844.0,709.0,951.0,1
6,FuxEm_Like ARabbott,698.0,841.0,522.0,843.0,705.0,608.0,580.0,496.0,646.0,584.0,771.0,1
7,Poverty Franchise,793.0,770.0,800.0,787.0,694.0,782.0,640.0,892.0,731.0,661.0,637.0,1
8,Boban  Marjanovic ,741.0,965.0,522.0,727.0,605.0,782.0,1011.0,662.0,844.0,584.0,896.0,0
9,Harrisburg Frank,730.0,836.0,728.0,787.0,705.0,564.0,843.0,865.0,501.0,709.0,637.0,0
10,Siakam Deez  Nuts,750.0,770.0,582.0,756.0,628.0,608.0,980.0,740.0,731.0,638.0,770.0,0
11,The Return of Bob Bill,805.0,666.0,800.0,858.0,757.0,896.0,580.0,748.0,690.0,661.0,968.0,0
12,St. Joan of Arc CYO Team,485.0,841.0,727.0,754.0,694.0,927.0,969.0,728.0,646.0,736.0,834.0,0
13,Luka All Those Chickens,546.0,759.0,760.0,843.0,532.0,843.0,640.0,748.0,675.0,781.0,771.0,0
14,FuxEm_Like ARabbott,793.0,739.0,761.0,918.0,872.0,647.0,607.0,892.0,810.0,871.0,951.0,0
15,Poverty Franchise,698.0,832.0,718.0,895.0,480.0,740.0,871.0,496.0,755.0,835.0,691.0,0
