G,Date,Age,Opp,W/L,At,Name,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
3,2022-10-22,23-033,MIA,L (-3),@,Precious Achiuwa 2022-23 Advanced Game Log ,0.0,33.53333333333333,5.0,9.0,2.0,5.0,6.0,7.0,3.0,8.0,11.0,1.0,0.0,0.0,1.0,1.0,18.0,16.0,0.745,0.667,9.3,32.7,19.4,4.8,0.0,0.0,7.6,17.8,146.0,122.0,17.1,0.5
3,2022-10-22,29-094,DAL,L (-41),@,Steven Adams 2022-23 Advanced Game Log ,1.0,22.316666666666666,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,-30.0,0.258,0.333,5.0,17.0,10.6,6.8,2.2,16.9,43.6,13.9,43.0,127.0,2.2,-8.2
3,2022-10-22,25-096,TOR,W (+3),,Bam Adebayo 2022-23 Advanced Game Log ,1.0,35.7,4.0,6.0,0.0,1.0,2.0,2.0,0.0,7.0,7.0,1.0,0.0,0.0,3.0,3.0,10.0,5.0,0.727,0.667,0.0,20.5,11.6,4.1,0.0,0.0,30.4,12.9,96.0,116.0,6.0,-7.1
3,2022-10-22,21-285,DAL,L (-41),@,Santi Aldama 2022-23 Advanced Game Log ,1.0,20.783333333333335,2.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,2.0,5.0,8.0,-10.0,0.752,0.625,10.7,24.3,17.1,0.0,0.0,0.0,27.3,15.9,115.0,137.0,4.6,-9.6
3,2022-10-23,24-185,WAS,W (+10),,Jarrett Allen 2022-23 Advanced Game Log ,1.0,37.516666666666666,6.0,13.0,0.0,0.0,3.0,4.0,6.0,8.0,14.0,3.0,0.0,2.0,0.0,2.0,15.0,-1.0,0.508,0.462,18.0,31.4,23.8,13.0,0.0,4.8,0.0,17.4,136.0,104.0,17.2,1.6
3,2022-10-23,24-194,UTA,L (-1),,Jose Alvarado 2022-23 Advanced Game Log ,0.0,24.166666666666668,3.0,6.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,7.0,-5.0,0.583,0.583,0.0,14.3,7.4,21.2,2.0,3.7,33.3,15.3,91.0,112.0,6.0,0.0
3,2022-10-22,25-097,MIA,L (-3),@,OG Anunoby 2022-23 Advanced Game Log ,1.0,38.35,5.0,14.0,3.0,6.0,0.0,0.0,1.0,8.0,9.0,0.0,1.0,1.0,0.0,3.0,13.0,4.0,0.464,0.464,2.7,28.6,13.9,0.0,1.3,2.7,0.0,16.6,94.0,117.0,8.8,-7.2
3,2022-10-23,21-293,CLE,L (-10),@,Deni Avdija 2022-23 Advanced Game Log ,1.0,14.45,1.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,0.167,0.167,0.0,15.6,8.8,0.0,7.2,0.0,14.3,23.0,29.0,102.0,-1.8,-19.5
3,2022-10-23,24-092,LAC,W (+17),@,Deandre Ayton 2022-23 Advanced Game Log ,1.0,28.75,6.0,11.0,0.0,1.0,1.0,1.0,2.0,6.0,8.0,1.0,0.0,1.0,4.0,5.0,13.0,7.0,0.568,0.545,7.1,22.3,14.5,5.1,0.0,3.3,25.9,23.4,89.0,99.0,6.3,-9.1
3,2022-10-22,24-163,BOS,L (-6),,Mo Bamba 2022-23 Advanced Game Log ,0.0,11.7,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.5,0.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.8,124.0,136.0,1.2,-8.8
3,2022-10-22,24-119,DAL,L (-41),@,Desmond Bane 2022-23 Advanced Game Log ,1.0,27.25,4.0,11.0,2.0,5.0,4.0,4.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,14.0,-8.0,0.549,0.455,0.0,23.2,10.9,26.1,1.8,0.0,7.3,22.7,112.0,133.0,11.4,-1.0
3,2022-10-22,22-349,MIA,L (-3),@,Dalano Banton 2022-23 Advanced Game Log ,0.0,5.55,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-3.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,18.8,0.0,16.4,133.0,112.0,2.3,7.5
3,2022-10-23,30-146,GSW,L (-5),@,Harrison Barnes 2022-23 Advanced Game Log ,1.0,21.45,1.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,-18.0,0.725,1.0,0.0,10.2,5.1,0.0,2.1,0.0,42.0,8.4,74.0,121.0,2.1,-7.3
3,2022-10-22,21-082,MIA,L (-3),@,Scottie Barnes 2022-23 Advanced Game Log ,1.0,13.233333333333333,5.0,9.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,-8.0,0.533,0.556,7.9,10.4,9.0,38.5,0.0,7.9,8.8,39.0,103.0,119.0,7.6,0.6
3,2022-10-23,31-290,CLE,L (-10),@,Will Barton 2022-23 Advanced Game Log ,0.0,35.43333333333333,4.0,11.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,5.0,2.0,9.0,-7.0,0.409,0.409,0.0,12.7,7.2,8.1,2.9,0.0,31.3,21.4,59.0,114.0,1.7,-11.8
