Name,Week,FPoints
Aaron Gordon 2021-22 Advanced Game Log ,1.0,63
Aaron Gordon 2021-22 Advanced Game Log ,2.0,50
Aaron Gordon 2021-22 Advanced Game Log ,3.0,64
Aaron Gordon 2021-22 Advanced Game Log ,4.0,88
Aaron Gordon 2021-22 Advanced Game Log ,5.0,41
Aaron Gordon 2021-22 Advanced Game Log ,6.0,52
Aaron Gordon 2021-22 Advanced Game Log ,7.0,75
Aaron Gordon 2021-22 Advanced Game Log ,8.0,39
Aaron Gordon 2021-22 Advanced Game Log ,9.0,11
Aaron Gordon 2021-22 Advanced Game Log ,10.0,15
Aaron Gordon 2021-22 Advanced Game Log ,11.0,51
Aaron Gordon 2021-22 Advanced Game Log ,12.0,95
Aaron Gordon 2021-22 Advanced Game Log ,13.0,70
Aaron Gordon 2021-22 Advanced Game Log ,14.0,73
Aaron Gordon 2021-22 Advanced Game Log ,15.0,32
Aaron Gordon 2021-22 Advanced Game Log ,16.0,65
Aaron Gordon 2021-22 Advanced Game Log ,17.0,36
Aaron Gordon 2021-22 Advanced Game Log ,18.0,57
Aaron Gordon 2021-22 Advanced Game Log ,19.0,41
Aaron Gordon 2021-22 Advanced Game Log ,20.0,39
Aaron Gordon 2021-22 Advanced Game Log ,21.0,52
Aaron Gordon 2021-22 Advanced Game Log ,22.0,65
Aaron Gordon 2021-22 Advanced Game Log ,23.0,111
Aaron Gordon 2021-22 Advanced Game Log ,24.0,52
Aaron Henry 2021-22 Advanced Game Log ,9.0,0
Aaron Henry 2021-22 Advanced Game Log ,11.0,1
Aaron Henry 2021-22 Advanced Game Log ,12.0,-1
Aaron Holiday 2021-22 Advanced Game Log ,1.0,37
Aaron Holiday 2021-22 Advanced Game Log ,2.0,25
Aaron Holiday 2021-22 Advanced Game Log ,3.0,20
Aaron Holiday 2021-22 Advanced Game Log ,4.0,15
Aaron Holiday 2021-22 Advanced Game Log ,5.0,19
Aaron Holiday 2021-22 Advanced Game Log ,6.0,23
Aaron Holiday 2021-22 Advanced Game Log ,7.0,21
Aaron Holiday 2021-22 Advanced Game Log ,8.0,37
Aaron Holiday 2021-22 Advanced Game Log ,9.0,29
Aaron Holiday 2021-22 Advanced Game Log ,11.0,5
Aaron Holiday 2021-22 Advanced Game Log ,12.0,18
Aaron Holiday 2021-22 Advanced Game Log ,13.0,2
Aaron Holiday 2021-22 Advanced Game Log ,14.0,4
Aaron Holiday 2021-22 Advanced Game Log ,15.0,14
Aaron Holiday 2021-22 Advanced Game Log ,16.0,28
Aaron Holiday 2021-22 Advanced Game Log ,17.0,22
Aaron Holiday 2021-22 Advanced Game Log ,18.0,21
Aaron Holiday 2021-22 Advanced Game Log ,19.0,36
Aaron Holiday 2021-22 Advanced Game Log ,20.0,50
Aaron Holiday 2021-22 Advanced Game Log ,21.0,42
Aaron Holiday 2021-22 Advanced Game Log ,22.0,4
Aaron Holiday 2021-22 Advanced Game Log ,23.0,-1
Aaron Holiday 2021-22 Advanced Game Log ,24.0,25
Aaron Nesmith 2021-22 Advanced Game Log ,2.0,19
Aaron Nesmith 2021-22 Advanced Game Log ,3.0,9
Aaron Nesmith 2021-22 Advanced Game Log ,4.0,5
Aaron Nesmith 2021-22 Advanced Game Log ,5.0,11
Aaron Nesmith 2021-22 Advanced Game Log ,6.0,20
Aaron Nesmith 2021-22 Advanced Game Log ,7.0,9
Aaron Nesmith 2021-22 Advanced Game Log ,8.0,10
Aaron Nesmith 2021-22 Advanced Game Log ,9.0,7
Aaron Nesmith 2021-22 Advanced Game Log ,11.0,0
Aaron Nesmith 2021-22 Advanced Game Log ,12.0,15
Aaron Nesmith 2021-22 Advanced Game Log ,13.0,7
Aaron Nesmith 2021-22 Advanced Game Log ,14.0,9
